phone,count,lvl,implementation,date,timestamp,issues,offscreen,1_Age,2_priorExp,3_SUS_1,4_SUS_2,5_SUS_3,6_SUS_4,7_SUS_5,8_SUS_6,9_SUS_7,10_SUS_8,11_SUS_9,12_SUS_10,tag1,tag2,tag3,tag4,oq,sus,priorExp,t1_time,t1_hint_pt,t1_hint_ar,t1_pinch,t1_tfr,t1_offscrn,t2_time,t2_hint_pt,t2_hint_ar,t2_pinch,t2_tfr,t2_offscrn,t3_time,t3_hint_pt,t3_hint_ar,t3_pinch,t3_tfr,t3_offscrn,m1_time,m1_hint_pt,m1_hint_ar,m1_pinch,m1_tfr,m1_offscrn,m2_time,m2_hint_pt,m2_hint_ar,m2_pinch,m2_tfr,m2_offscrn,m3_time,m3_hint_pt,m3_hint_ar,m3_pinch,m3_tfr,m3_offscrn
1,9,2,MT2,22.02.20,17:14:52,,0,27,1,2,2,4,1,4,1,5,1,5,1,,1,,,Implementing rotation of objects with 2 fingers would be better.,82.5,1,30,0,0,0,0,0,39,0,0,0,0,0,52,0,0,0,0,0,69,0.0,0.0,0.0,1.0,0.0,29,0,0,0,0,0,34,0,0,0,0,0
1,10,1,TM1,26.02.20,15:02:51,,0,29,0,4,2,4,3,5,2,5,1,5,3,,,,,,80.0,1,10,0,0,0,0,0,73,1,1,0,2,0,191,1,2,0,1,0,9,0.0,0.0,0.0,0.0,0.0,21,0,0,0,0,0,201,1,0,2,0,0
1,11,1,TM1,27.02.20,15:15:13,,1,22,0,3,2,3,3,3,1,5,3,3,2,,,1,,Improve touch sensibility,72.5,1,16,0,0,0,0,1,118,0,1,0,1,1,62,0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,15,0,0,0,0,0,141,0,0,1,0,0
1,12,0,TM0,05.03.20,17:00:00,,0,20,0,2,3,4,3,4,4,3,5,3,1,,,,1,faster setting up,77.5,1,10,0,0,0,0,0,104,0,1,1,3,0,180,2,1,0,0,0,6,0.0,0.0,0.0,0.0,0.0,14,0,0,0,0,0,59,0,0,0,0,0
1,13,3,TM3,07.03.20,19:35:00,,1,23,0,5,4,2,4,3,4,1,5,2,4,,,,,,72.5,0,17,0,0,0,0,0,84,0,2,0,2,1,64,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,15,0,0,0,0,0,49,0,0,0,0,0
2,1,2,TM2,05.02.20,12:27,,0,18,0,3,2,4,2,1,2,5,2,3,3,,,,,,30.0,1,20,0,0,0,0,0,82,1,1,0,2,0,26,1,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,41,0,0,0,0,0
2,3,2,TM2,05.02.20,15:30,,0,24,0,2,2,3,2,4,2,4,3,3,1,,,,,,90.0,0,28,0,0,0,4,0,129,0,1,0,6,0,72,1,0,0,1,0,6,0.0,0.0,0.0,0.0,0.0,17,0,0,0,0,0,103,0,0,0,0,1
2,4,1,MT1,05.02.20,16:05,,1,23,0,5,1,5,1,5,1,5,1,5,1,,,,1,It would be nice; if the app could recover from the user accidentally moving their hand in front of the camera (maybe generate an old state),72.5,1,11,0,0,0,0,0,66,0,0,0,0,1,72,0,0,0,0,0,22,0.0,0.0,0.0,0.0,0.0,37,0,0,0,0,0,117,1,0,0,0,0
2,5,0,TM0,05.02.20,16:16,,0,22,1,3,2,4,2,3,2,5,3,4,1,1,,,,Some text tips should be useful to get the ?algorithm? Of the particular AR app,70.0,1,22,0,0,0,2,0,73,0,1,0,10,1,88,1,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,14,0,0,0,0,0,36,0,0,0,0,0
2,8,0,MT0,15.02.20,14:35,,0,26,1,3,2,4,3,4,1,5,2,4,3,,1,,,"It�s fun to play around with the app, but I needed a few seconds to get used to it.",90.0,0,10,0,0,0,0,0,103,0,1,1,5,0,155,0,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,29,0,0,0,0,0,118,1,0,0,0,0
2,9,0,TM0,21.02.20,19:03,,1,28,1,3,2,2,1,4,1,5,2,4,1,1,,,,Short notice how to use things in the app if someone is not able to use them properly.,62.5,0,19,0,0,0,0,0,187,0,1,0,10,10,59,1,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,18,0,0,0,0,0,73,0,0,0,0,0
2,10,1,TM1,21.02.20,19:16,,0,22,0,2,2,4,1,3,2,5,2,4,2,1,,,,Instructions in the beginning on how to handle the app / functions.,82.5,0,15,0,0,0,1,0,115,0,1,0,9,0,90,1,0,0,0,0,33,0.0,0.0,0.0,0.0,0.0,22,0,0,0,0,0,59,0,0,0,0,0
2,11,3,TM3,28.02.20,18:16,,1,29,0,4,1,5,1,4,2,5,2,5,1,,,,,,65.0,0,12,0,0,0,0,0,85,0,0,0,2,1,56,1,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,12,0,0,0,0,0,62,0,0,0,0,0
2,12,3,MT3,02.03.20,13:58,,1,22,1,4,2,3,2,4,1,2,2,4,2,1,,,,When I attempted to rotate the helpful message was hidden by my fingers. Maybe place the message somewhere else.,85.0,1,10,0,0,0,0,0,52,0,0,0,3,0,92,0,0,0,2,0,20,0.0,0.0,0.0,0.0,0.0,22,0,0,0,0,1,49,0,0,0,0,0
2,13,3,MT3,02.03.20,14:07,,0,23,1,4,4,3,1,5,1,4,2,2,1,,1,,,Rotating the phone to rotate objects is very counterintuitive.,80.0,0,9,0,0,0,0,0,63,0,0,0,3,0,48,1,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,12,0,0,0,0,0,53,0,0,0,0,0
2,14,3,TM3,02.03.20,14:15,,0,22,0,4,1,4,1,5,1,5,2,4,1,1,,,,I did not know how to rotate objects so hints were really helpful,65.0,0,10,0,0,0,0,0,127,0,0,0,3,0,93,1,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,18,0,0,0,0,0,57,0,0,0,0,0
2,15,3,TM3,03.03.20,11:17,,1,26,0,3,4,3,2,4,1,3,3,4,2,,1,,,remove unnecessary complexities (Toast turning for example),50.0,0,16,0,0,0,0,1,55,0,0,0,1,2,61,1,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,71,0,0,0,0,0
2,16,3,MT3,03.03.20,18:47,,0,29,0,4,2,4,1,4,1,4,2,4,1,1,1,,,Integrate giving tasks in application; insert hints more central at the bottom; be consistent in object approach – either by movement of the phone or touchpad intuition.,82.5,1,8,0,0,0,0,0,41,0,0,0,1,0,84,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,16,0,0,0,0,0,88,0,0,0,0,0
2,17,3,TM3,04.03.20,15:16:00,,1,25,1,1,1,4,1,5,1,4,1,4,1,1,,,,"Vibration feedback on some actions, hints on how to interact with objects seen",57.5,0,11,0,0,0,0,0,128,0,0,0,2,3,75,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,12,0,0,0,0,0,52,0,0,0,0,0
2,18,3,MT3,05.03.20,16:45:00,,1,26,0,2,2,5,4,3,2,3,2,3,3,,,,,,67.5,0,7,0,0,0,0,0,44,0,0,0,1,0,57,1,0,0,0,0,24,0.0,0.0,0.0,0.0,0.0,54,0,1,0,0,3,73,0,0,0,0,0
2,19,3,MT3,05.03.20,16:56:00,,0,25,0,4,1,3,3,4,2,5,3,2,2,,,,,,30.0,0,11,0,0,0,0,0,111,0,0,0,3,0,90,1,0,0,0,0,68,0.0,1.0,0.0,0.0,0.0,12,0,0,0,0,0,50,0,0,0,0,0
